1,Hi, I'm Alice, looking for some men tonight. Reply for some fun!
2,Free entry in our weekly prize draw! Text WIN to 81122 to enter. T&Cs apply.
3,FreeMsg: You've been chosen to receive a new iPhone! Click here to claim: tinyurl.com/yx87mzqp
4,WIN £500 cash! Simply reply with the word MONEY to this number.
5,Urgent! Your Amazon account has been compromised. Verify your details: amazonsupport.securelogin.net
6,Had your contract mobile 12 months? Upgrade to the latest model FREE! Call us now on 0203-123-4567!
7,Congrats! You've won a vacation to the Bahamas! Call this number to claim: 0161-987-6543
8,You have a package waiting for delivery. Confirm your address: track-parcel.info/your-package
9,Get a free ringtone! Text TONE to 82233 for your free download.
10,Hi, I'm Sarah, looking for some fun tonight. Reply for a chat!
11,FreeMsg: Your bank card has been blocked. Reactivate it now: banksecure.verification.site
12,Win a new car! Enter our competition by texting CAR to 83344.
13,Urgent! Your tax refund is waiting. Claim it now: hmrc-refunds.co.uk.verify
14,Mobile Upgrade: You qualify for a free upgrade! Call our helpline today on 07911-223344!
15,Congratulations! You've won a shopping voucher! Click to claim: gift-claim.rewards4you.com
16,Your order is being processed. Please confirm your payment method: onlinepayments-verify.com
17,Win a free TV! Text TV to 84455 to enter our prize draw.
18,FreeMsg: You have a voice message. Listen to it now: voicemail-alert.live
19,Hi, I'm Lucy, new to the area and looking to meet new people. Reply to chat!
20,Urgent! Your PayPal account requires verification: paypal-secure.login-verification.net
21,Get a free movie download! Text FILM to 85566 for your free link.
22,Congrats! You've won a weekend getaway! Call now to book: 0800-555-1111
23,You have an unpaid invoice. Make a payment now: quickinvoice-pay.net
24,Mobile Deal: Get 50% off your next bill! Call our customer service line on 0141-765-4321.
25,Congratulations! You've won a restaurant voucher! Claim it here: my-rewards-site.com
26,Your password has been reset. Confirm the change: accountsecurity-update.com
27,Win a free holiday! Text HOLIDAY to 86677 for your chance to win.
28,FreeMsg: Your social media account has been flagged: socialsecurity-alert.com
29,Hi, I'm Emily, looking for someone special. Reply to get to know me!
30,Urgent! Your Netflix subscription is about to expire. Renew now: netflix-verify.net
31,Get a free music download! Text MUSIC to 87788 for your free track.
32,Congrats! You've won a prize from our sponsors! Claim it now: prizes-claim.rewards4you.com
33,You have an overdue payment. Make a payment now: paymentreminder-online.com
34,Mobile Offer: Get unlimited data for just £10 a month! Call to activate on 0131-888-9999.
35,Congratulations! You've won a spa day! Claim your prize here: spasrewards.com
36,Your online banking profile needs updated! Verify Now: secureonlinebankingupdate.net
37,Win a free tablet! Text TABLET to 88899 for your chance to win big.
38,FreeMsg: You've been selected for a secret shopper opportunity: secretshoppersuk.com
39,Hi, I'm Chloe, bored and looking for someone to chat with. Reply if you are too!
40,Urgent! Your Apple ID has been locked. Unlock it now: appleidsecurity.com
41,Get a free game download! Text GAME to 89900 for your free link.
42,Congrats! You've won a gift card! Claim your prize here: gift-claim.com/prizewinner
43,You have a scheduled delivery update from USPS: usps-trackinginfo.com
44,Mobile Savings: Get a new mobile data plan for £3 per month, call now on 07700-123-456!
45,Congratulations! You've won a tech gadget! Claim your prize here: claimyourtech.com
46,Someone has attempted to log into you account: myaccountlogin.com
47,Win a dream vacation! Text DREAM to 90011 for your chance to win.
48,FreeMsg: You have unclaimed funds from a class action lawsuit: unclaimedfunds.co.uk
49,Hi, I'm Jessica, looking to meet new people. Reply to set up a meet!
50,Urgent! Your Google account has been compromised. Secure it now: googleaccountsecurity.net
51,Get a free ebook download! Text BOOK to 91122 for your free link.
52,Congrats! You've won a discount! Claim your discount here: discountrewards-now.com
53,You have been chosen to participate in a consumer report: consumer-report-today.com
54,Mobile Sale: Get the latest phone + mobile plan at a discount rate, call now on 0800-444-5555.
